usuario,hotel_recomendado,hotel_consumido,propiedad,example_similarity_score,mean_example_similarity,k_nearest_example_strength,example_coverage,example_consensus_score,example_disagreement_score,example_density_global,is_most_similar,is_least_similar,prototype_similarity,cosine_similarity,shared_attribute_count,shared_category_count,shared_location_count,category_alignment_score,path_count,path_length,weighted_kps,explanation_type_diversity,attribute_diversity_recommended,cross_explanation_diversity
3,1608,1783,,0.1111111111111111,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0.020370370370370372,0,0,0.0,0.2182178902359924,4,1,0,0.6666666666666666,4,2,4.8,4,10,2.75
3,1608,1941,,0.09090909090909091,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0.020370370370370372,0,0,0.0,0.16666666666666669,2,0,0,0.6666666666666666,2,2,1.3,2,10,2.75
3,1608,2513,,0.09090909090909091,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0.020370370370370372,0,1,0.0,0.16666666666666669,2,1,0,0.6666666666666666,2,2,2.3,2,10,2.75
3,1608,457,,0.15,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0.020370370370370372,1,0,0.15,0.26111648393354675,3,1,0,0.6666666666666666,3,2,3.8,3,10,2.75
3,163,1783,,0.12307692307692308,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0.010864197530864199,1,0,0.0,0.2253744679276044,8,1,3,0.2,8,2,11.8,6,10,4.75
3,163,1941,,0.09615384615384616,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0.010864197530864199,0,0,0.0,0.21516574145596762,5,1,1,0.2,5,2,6.8,4,10,4.75
3,163,2513,,0.09615384615384616,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0.010864197530864199,0,0,0.0,0.21516574145596762,5,0,3,0.2,5,2,8.3,5,10,4.75
3,163,457,,0.07692307692307693,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0.010864197530864199,0,1,0.07692307692307693,0.1797866299901979,4,0,3,0.2,4,2,6.8,4,10,4.75
3,1693,1783,,0.16363636363636364,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0.011111111111111112,1,0,0.0,0.2834733547569204,9,2,1,0.375,9,2,11.8,4,10,3.25
3,1693,1941,,0.09090909090909091,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0.011111111111111112,0,0,0.0,0.19245008972987526,4,1,1,0.375,4,2,5.8,4,10,3.25
3,1693,2513,,0.06666666666666667,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0.011111111111111112,0,0,0.0,0.14433756729740643,3,0,1,0.375,3,2,4.3,3,10,3.25
3,1693,457,,0.044444444444444446,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0.011111111111111112,0,1,0.044444444444444446,0.10050378152592121,2,0,1,0.375,2,2,2.8,2,10,3.25
3,1729,1783,,0.175,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0.01754385964912281,1,0,0.0,0.3034884893334419,7,2,0,0.5714285714285714,7,2,8.8,4,10,2.75
3,1729,1941,,0.06896551724137931,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0.01754385964912281,0,1,0.0,0.13245323570650439,2,0,0,0.5714285714285714,2,2,1.3,2,10,2.75
3,1729,2513,,0.10714285714285714,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0.01754385964912281,0,0,0.0,0.19867985355975656,3,2,0,0.5714285714285714,3,2,4.3,2,10,2.75
3,1729,457,,0.1111111111111111,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0.01754385964912281,0,0,0.1111111111111111,0.2075143391598224,3,1,0,0.5714285714285714,3,2,3.8,3,10,2.75
3,2085,1783,,0.1694915254237288,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0.00975609756097561,1,0,0.0,0.2951406680504776,10,2,0,0.23076923076923078,10,2,11.8,4,10,2.75
3,2085,1941,,0.06,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0.00975609756097561,0,0,0.0,0.13525044520011487,3,0,0,0.23076923076923078,3,2,2.3,2,10,2.75
3,2085,2513,,0.0392156862745098,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0.00975609756097561,0,1,0.0,0.09016696346674324,2,1,0,0.23076923076923078,2,2,2.3,2,10,2.75
3,2085,457,,0.061224489795918366,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0.00975609756097561,0,0,0.061224489795918366,0.14126448280440332,3,1,0,0.23076923076923078,3,2,3.8,3,10,2.75
3,2101,1783,,0.21052631578947367,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0.019753086419753086,1,0,0.0,0.3563483225498992,8,3,0,0.8333333333333334,8,2,10.8,4,10,2.75
3,2101,1941,,0.07142857142857142,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0.019753086419753086,0,1,0.0,0.13608276348795434,2,0,0,0.8333333333333334,2,2,1.3,2,10,2.75
3,2101,2513,,0.1111111111111111,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0.019753086419753086,0,0,0.0,0.20412414523193154,3,2,0,0.8333333333333334,3,2,4.3,2,10,2.75
3,2101,457,,0.11538461538461539,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0.019753086419753086,0,0,0.11538461538461539,0.21320071635561047,3,1,0,0.8333333333333334,3,2,3.8,3,10,2.75
3,2109,1783,,0.07317073170731707,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0.0125,0,0,0.0,0.1417366773784602,3,0,0,0.5,3,2,2.3,2,10,1.75
3,2109,1941,,0.16666666666666666,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0.0125,1,0,0.0,0.2886751345948129,4,1,0,0.5,4,2,4.3,3,10,1.75
3,2109,2513,,0.037037037037037035,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0.0125,0,1,0.0,0.07216878364870323,1,0,0,0.5,1,2,0.3,1,10,1.75
3,2109,457,,0.038461538461538464,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0.0125,0,0,0.038461538461538464,0.07537783614444091,1,0,0,0.5,1,2,0.3,1,10,1.75
3,2290,1783,,0.02702702702702703,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0.011111111111111112,0,1,0.0,0.05976143046671968,1,0,0,0.0,1,2,0.3,1,9,1.25
3,2290,1941,,0.1,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0.011111111111111112,1,0,0.0,0.18257418583505536,2,0,0,0.0,2,2,1.8,2,9,1.25
3,2290,2513,,0.047619047619047616,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0.011111111111111112,0,0,0.0,0.09128709291752768,1,0,0,0.0,1,2,0.3,1,9,1.25
3,2290,457,,0.05,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0.011111111111111112,0,0,0.05,0.09534625892455924,1,0,0,0.0,1,2,0.3,1,9,1.25
3,2344,1783,,0.09722222222222222,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0.005664488017429195,1,0,0.0,0.18523964340873708,7,3,0,0.3076923076923077,7,2,9.3,3,10,2.25
3,2344,1941,,0.06779661016949153,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0.005664488017429195,0,0,0.0,0.16169041669088866,4,1,0,0.3076923076923077,4,2,4.8,4,10,2.25
3,2344,2513,,0.016129032258064516,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0.005664488017429195,0,1,0.0,0.040422604172722164,1,0,0,0.3076923076923077,1,2,0.3,1,10,2.25
3,2344,457,,0.01639344262295082,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0.005664488017429195,0,0,0.01639344262295082,0.0422200330920749,1,0,0,0.3076923076923077,1,2,0.3,1,10,2.25
3,25,1783,,0.13513513513513514,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0.023809523809523808,0,0,0.0,0.2525381361380527,5,2,0,0.6,5,2,6.8,4,10,2.5
3,25,1941,,0.04,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0.023809523809523808,0,1,0.0,0.07715167498104597,1,0,0,0.6,1,2,0.3,1,10,2.5
3,25,2513,,0.18181818181818182,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0.023809523809523808,0,0,0.0,0.3086066999241839,4,3,0,0.6,4,2,6.3,2,10,2.5
3,25,457,,0.25,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0.023809523809523808,1,0,0.25,0.4029114820126901,5,3,0,0.6,5,2,7.8,3,10,2.5
3,2557,1783,,0.075,0.06875,0.275,1.0,2.0,0.0003729166666666667,0.011851851851851853,0,0,0.0,0.14638501094227996,3,0,0,0.0,3,2,2.3,2,10,1.75
3,2557,1941,,0.08,0.06875,0.275,1.0,2.0,0.0003729166666666667,0.011851851851851853,0,0,0.0,0.14907119849998599,2,0,0,0.0,2,2,1.3,2,10,1.75
3,2557,2513,,0.08,0.06875,0.275,1.0,2.0,0.0003729166666666667,0.011851851851851853,1,0,0.0,0.14907119849998599,2,0,0,0.0,2,2,1.8,2,10,1.75
3,2557,457,,0.04,0.06875,0.275,1.0,2.0,0.0003729166666666667,0.011851851851851853,0,1,0.04,0.0778498944161523,1,0,0,0.0,1,2,0.3,1,10,1.75
3,2617,1783,,0.07894736842105263,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0.018803418803418806,0,0,0.0,0.15724272550828775,3,0,0,1.0,3,2,2.3,2,10,2.0
3,2617,1941,,0.25,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0.018803418803418806,1,0,0.0,0.4003203845127179,5,1,0,1.0,5,2,5.3,3,10,2.0
3,2617,2513,,0.08695652173913043,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0.018803418803418806,0,0,0.0,0.16012815380508716,2,0,0,1.0,2,2,1.8,2,10,2.0
3,2617,457,,0.043478260869565216,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0.018803418803418806,0,1,0.043478260869565216,0.08362420100070908,1,0,0,1.0,1,2,0.3,1,10,2.0
3,2963,1783,,0.2564102564102564,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0.026455026455026457,1,0,0.0,0.4123930494211613,10,4,2,0.75,10,2,17.5,4,10,3.5
3,2963,1941,,0.13793103448275862,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0.026455026455026457,0,1,0.0,0.25197631533948484,4,1,1,0.75,4,2,6.5,3,10,3.5
3,2963,2513,,0.2222222222222222,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0.026455026455026457,0,0,0.0,0.37796447300922725,6,3,2,0.75,6,2,13.0,4,10,3.5
3,2963,457,,0.18518518518518517,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0.026455026455026457,0,0,0.18518518518518517,0.3289758474798845,5,3,2,0.75,5,2,11.5,3,10,3.5
3,2972,1783,,0.15,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0.019753086419753086,0,0,0.0,0.2672612419124244,6,4,0,0.5555555555555556,6,2,9.3,3,10,2.25
3,2972,1941,,0.034482758620689655,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0.019753086419753086,0,1,0.0,0.06804138174397717,1,0,0,0.5555555555555556,1,2,0.3,1,10,2.25
