usuario,hotel_recomendado,propiedad,hotel_consumido,attribute_popularity,attribute_popularity_rank,inverse_popularity,commonality_score
3,2101,has_attribute:ByAppointmentOnly=False,,2,0.6981132075471698,0.5,0
3,2101,has_attribute:GoodForKids=True,,2,0.6981132075471698,0.5,0
3,2101,has_attribute:WiFi=free,,3,0.8301886792452831,0.3333333333333333,0
3,2101,has_attribute:DogsAllowed=False,,1,0.0,1.0,0
3,2101,has_name:Indianapolis Motor Speedway Museum,,1,0.0,1.0,0
3,2101,status:open,,5,0.9811320754716981,0.2,0
3,2101,has_rating:4.5 stars,,3,0.8301886792452831,0.3333333333333333,0
3,2101,has_category:Tours,,3,0.8301886792452831,0.3333333333333333,0
3,2101,has_category:Museums,,2,0.6981132075471698,0.5,0
3,2101,has_category:Race Tracks,,1,0.0,1.0,0
3,2101,has_category:Local Flavor,,2,0.6981132075471698,0.5,0
3,2101,has_category:Historical Tours,,2,0.6981132075471698,0.5,0
3,2101,has_category:Arts & Entertainment,,2,0.6981132075471698,0.5,0
3,2101,"has_coordinates:(39.7903, -86.2337)",,1,0.0,1.0,0
3,2101,in_state:IN,,1,0.0,1.0,0
3,2101,has_postal_code:46222,,1,0.0,1.0,0
3,2101,has_review_count:91 reviews,,1,0.0,1.0,0
3,2101,located_in_city:Indianapolis,,1,0.0,1.0,0
3,2109,has_review_count:430 reviews,,1,0.0,1.0,0
3,2109,has_name:Hyatt Regency St. Louis at the Arch,,1,0.0,1.0,0
3,2109,"has_coordinates:(38.6262, -90.1878)",,1,0.0,1.0,0
3,2109,has_postal_code:63102,,1,0.0,1.0,0
3,2109,in_state:MO,,1,0.0,1.0,0
3,2109,has_attribute:BusinessAcceptsBitcoin=False,,1,0.0,1.0,0
3,2109,has_attribute:WiFi=free,,3,0.8596491228070176,0.3333333333333333,0
3,2109,has_attribute:WheelchairAccessible=True,,1,0.0,1.0,0
3,2109,has_attribute:RestaurantsPriceRange2=3,,1,0.0,1.0,0
3,2109,has_attribute:BusinessAcceptsCreditCards=True,,3,0.8596491228070176,0.3333333333333333,0
3,2109,has_attribute:DogsAllowed=True,,1,0.0,1.0,0
3,2109,has_category:Event Planning & Services,,2,0.8070175438596491,0.5,0
3,2109,has_category:Venues & Event Spaces,,1,0.0,1.0,0
3,2109,has_rating:3.5 stars,,1,0.0,1.0,0
3,2109,status:open,,5,0.9824561403508771,0.2,0
3,2109,located_in_city:Saint Louis,,1,0.0,1.0,0
3,2290,has_name:Southwest Airlines,,1,0.0,1.0,0
3,2290,"has_coordinates:(39.7149, -86.2975)",,1,0.0,1.0,0
3,2290,has_category:Airlines,,1,0.0,1.0,0
3,2290,has_category:Transportation,,1,0.0,1.0,0
3,2290,located_in_city:Indianapolis,,1,0.0,1.0,0
3,2290,status:open,,5,0.9811320754716981,0.2,0
3,2290,in_state:IN,,1,0.0,1.0,0
3,2290,has_postal_code:46241,,1,0.0,1.0,0
3,2290,has_rating:3.0 stars,,2,0.7924528301886793,0.5,0
3,2290,has_review_count:45 reviews,,1,0.0,1.0,0
3,2344,in_state:TN,,1,0.0,1.0,0
