usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,ratio_propiedades_compartidas,cobertura_tipos_propiedades,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,mrr,hit_rate,map,diversidad_tipos_shannon,novedad_threshold_2,serendipia,consistencia_tipos,peso_ponderado_perfil,jaccard_similarity,balance_tipos_gini,riqueza_explicativa
35,1442,5767,3,0.3,3,1.0,0.04,0.07692307692307693,0.7076553232957626,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.6,0.04,1.0,0.4242640687119285
35,1442,2344,3,0.058823529411764705,3,1.0,0.04,0.07692307692307693,0.8037213937324477,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.7,0.04,1.0,0.4242640687119285
35,1442,2989,3,0.21428571428571427,2,1.0,0.04,0.07692307692307693,0.7396673768007592,1.0,1.0,1.0,0.9182958340544896,0.6666666666666666,0.0,1.0,0.7,0.04,0.8333333333333333,0.3464101615137754
35,1489,4326,4,0.2222222222222222,4,1.0,0.05333333333333334,0.10126582278481014,0.8401498110374593,1.0,1.0,1.0,2.0,0.75,0.0,1.0,0.7692307692307693,0.05333333333333334,1.0,0.565685424949238
35,1489,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1489,2344,4,0.0784313725490196,3,1.0,0.05333333333333334,0.10126582278481014,0.6928998152559478,1.0,1.0,1.0,1.5,0.75,0.0,1.0,0.5384615384615384,0.05333333333333334,0.8333333333333333,0.4898979485566356
35,1489,2989,4,0.2857142857142857,4,1.0,0.05333333333333334,0.10126582278481014,0.8401498110374593,1.0,1.0,1.0,2.0,0.75,0.0,1.0,0.7692307692307693,0.05333333333333334,1.0,0.565685424949238
35,1702,4326,8,0.4444444444444444,5,1.0,0.06666666666666667,0.125,0.933579955310489,1.0,1.0,1.0,2.1556390622295662,0.625,0.0,1.0,0.9523809523809523,0.10666666666666667,0.75,0.8944271909999159
35,1702,2344,14,0.27450980392156865,3,1.0,0.06666666666666667,0.125,0.774487192150212,1.0,1.0,1.0,1.1981174211304033,0.7857142857142857,0.0,1.0,0.71875,0.18666666666666668,0.6190476190476191,0.916515138991168
35,1702,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
