usuario,hotel_recomendado,propiedad,hotel_consumido,degree_centrality,normalized_degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,attribute_influence_score
3,3237,in_state:PA,,5,0.08771929824561403,0.1431380300169121,0.5229357798165137,0.2361296518615816,0.027673078861376602,31.0,5.0
3,3237,has_category:Transportation,,1,0.017543859649122806,0.0,0.29533678756476683,0.041261659825673334,0.007617968238227897,18.833333333333332,0.0
3,3237,has_category:Wedding Planning,,1,0.017543859649122806,0.0,0.29533678756476683,0.041261659825673334,0.007617968238227897,18.833333333333332,0.0
3,3237,has_category:Bus Tours,,1,0.017543859649122806,0.0,0.29533678756476683,0.041261659825673334,0.007617968238227897,18.833333333333332,0.0
3,3237,has_category:Event Planning & Services,,2,0.03508771929824561,0.013390848917164704,0.32571428571428573,0.06719305040890192,0.01296898627347419,21.5,0.5
3,3237,has_category:Tours,,3,0.05263157894736842,0.017294703702639296,0.3413173652694611,0.1247415933232765,0.017011036448833363,22.916666666666664,1.5
3,3237,has_review_count:150 reviews,,1,0.017543859649122806,0.0,0.29533678756476683,0.041261659825673334,0.007617968238227897,18.833333333333332,0.0
3,3237,located_in_city:Philadelphia,,4,0.07017543859649122,0.06663818977687881,0.456,0.21019826127835303,0.022322060826130308,28.583333333333332,3.0
3,3237,has_postal_code:19106,,4,0.07017543859649122,0.06663818977687881,0.456,0.21019826127835303,0.022322060826130308,28.583333333333332,3.0
3,3237,status:open,,5,0.08771929824561403,0.1431380300169121,0.5229357798165137,0.2361296518615816,0.027673078861376602,31.0,5.0
3,3237,has_attribute:BusinessAcceptsCreditCards=True,,3,0.05263157894736842,0.06956854115034897,0.4418604651162791,0.15264971836397842,0.018280010650771138,27.666666666666668,1.5
3,3237,has_attribute:WiFi=no,,1,0.017543859649122806,0.0,0.29533678756476683,0.041261659825673334,0.007617968238227897,18.833333333333332,0.0
3,3237,"has_coordinates:(39.9505, -75.1508)",,1,0.017543859649122806,0.0,0.29533678756476683,0.041261659825673334,0.007617968238227897,18.833333333333332,0.0
3,3484,status:open,,5,0.09090909090909091,0.16917318217971827,0.5238095238095238,0.23246081784353276,0.029590094293353467,30.0,5.0
3,3484,located_in_city:Philadelphia,,4,0.07272727272727272,0.06957216107542907,0.44715447154471544,0.20777948322411252,0.023715950830676517,27.333333333333332,3.0
3,3484,has_postal_code:19106,,4,0.07272727272727272,0.06957216107542907,0.44715447154471544,0.20777948322411252,0.023715950830676517,27.333333333333332,3.0
3,3484,has_name:PHLASH,,1,0.01818181818181818,0.0,0.28205128205128205,0.02900839623727806,0.008152137786858714,17.083333333333336,0.0
3,3484,in_state:PA,,5,0.09090909090909091,0.16917318217971827,0.5238095238095238,0.23246081784353276,0.029590094293353467,30.0,5.0
3,3484,"has_coordinates:(39.9566, -75.1650)",,1,0.01818181818181818,0.0,0.28205128205128205,0.02900839623727806,0.008152137786858714,17.083333333333336,0.0
3,3484,has_category:Transportation,,1,0.01818181818181818,0.0,0.28205128205128205,0.02900839623727806,0.008152137786858714,17.083333333333336,0.0
3,3484,has_category:Buses,,1,0.01818181818181818,0.0,0.28205128205128205,0.02900839623727806,0.008152137786858714,17.083333333333336,0.0
3,3484,has_review_count:41 reviews,,1,0.01818181818181818,0.0,0.28205128205128205,0.02900839623727806,0.008152137786858714,17.083333333333336,0.0
3,3484,has_rating:3.5 stars,,1,0.01818181818181818,0.0,0.28205128205128205,0.02900839623727806,0.008152137786858714,17.083333333333336,0.0
3,3732,has_attribute:WiFi=free,,3,0.04838709677419355,0.07566842687218985,0.4460431654676259,0.15824257391720872,0.017228138638912982,30.166666666666668,1.5
3,3732,has_attribute:ByAppointmentOnly=False,,2,0.03225806451612903,0.03433227316163107,0.4,0.13102662609585575,0.012277823699057758,27.749999999999996,0.5
3,3732,has_attribute:RestaurantsDelivery=False,,2,0.03225806451612903,0.03433227316163107,0.4,0.13102662609585575,0.012277823699057758,27.749999999999996,0.5
3,3732,"has_attribute:BusinessParking={garage: False, street: False, validated: False, lot: False, valet: False}",,1,0.016129032258064516,0.0,0.3054187192118227,0.04014328239653904,0.007479555552779645,21.333333333333332,0.0
3,3732,"has_attribute:GoodForMeal={dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",,1,0.016129032258064516,0.0,0.3054187192118227,0.04014328239653904,0.007479555552779645,21.333333333333332,0.0
3,3732,has_attribute:BusinessAcceptsCreditCards=True,,3,0.04838709677419355,0.07566842687218985,0.4460431654676259,0.15824257391720872,0.017228138638912982,30.166666666666668,1.5
