usuario,hotel_recomendado,propiedad,hotel_consumido,relation_type,semantic_group,type_specific_match_frequency,relation_weight,weighted_type_match_score
3,3069,,,has_rating,quality,0.0,1.5,0.3
3,3069,,,has_coordinates,location,0.0,1.0,0.3
3,3069,,,status,identity,1.0,0.3,0.3
3,3069,,,has_name,identity,0.0,0.5,0.3
3,3069,,,has_review_count,quality,0.0,0.8,0.3
3,3069,,,in_state,location,0.0,2.5,0.3
3,3069,,,has_postal_code,location,0.0,1.0,0.3
3,3069,,,located_in_city,location,0.0,3.0,0.3
3,3069,,,has_category,category,0.0,2.0,0.3
3,3119,,,has_attribute,attribute,0.0625,1.0,0.8374999999999999
3,3119,,,has_name,identity,0.0,0.5,0.8374999999999999
3,3119,,,has_postal_code,location,0.0,1.0,0.8374999999999999
3,3119,,,has_coordinates,location,0.0,1.0,0.8374999999999999
3,3119,,,has_category,category,0.05,2.0,0.8374999999999999
3,3119,,,status,identity,1.0,0.3,0.8374999999999999
3,3119,,,located_in_city,location,0.0,3.0,0.8374999999999999
3,3119,,,has_review_count,quality,0.0,0.8,0.8374999999999999
3,3119,,,in_state,location,0.0,2.5,0.8374999999999999
3,3119,,,has_rating,quality,0.25,1.5,0.8374999999999999
3,3136,,,located_in_city,location,0.0,3.0,1.0916666666666666
3,3136,,,has_category,category,0.125,2.0,1.0916666666666666
3,3136,,,in_state,location,0.0,2.5,1.0916666666666666
3,3136,,,has_coordinates,location,0.0,1.0,1.0916666666666666
3,3136,,,has_attribute,attribute,0.16666666666666666,1.0,1.0916666666666666
3,3136,,,has_review_count,quality,0.0,0.8,1.0916666666666666
3,3136,,,has_postal_code,location,0.0,1.0,1.0916666666666666
3,3136,,,status,identity,1.0,0.3,1.0916666666666666
3,3136,,,has_rating,quality,0.25,1.5,1.0916666666666666
3,3136,,,has_name,identity,0.0,0.5,1.0916666666666666
3,3165,,,in_state,location,0.0,2.5,0.8
3,3165,,,located_in_city,location,0.0,3.0,0.8
3,3165,,,has_name,identity,0.0,0.5,0.8
3,3165,,,status,identity,1.0,0.3,0.8
3,3165,,,has_attribute,attribute,0.16666666666666666,1.0,0.8
3,3165,,,has_rating,quality,0.0,1.5,0.8
3,3165,,,has_category,category,0.16666666666666666,2.0,0.8
3,3165,,,has_coordinates,location,0.0,1.0,0.8
3,3165,,,has_postal_code,location,0.0,1.0,0.8
3,3165,,,has_review_count,quality,0.0,0.8,0.8
3,3178,,,has_rating,quality,0.0,1.5,5.05
3,3178,,,status,identity,1.0,0.3,5.05
3,3178,,,has_coordinates,location,0.0,1.0,5.05
3,3178,,,has_name,identity,0.0,0.5,5.05
3,3178,,,has_review_count,quality,0.0,0.8,5.05
3,3178,,,has_postal_code,location,0.0,1.0,5.05
3,3178,,,has_category,category,0.0,2.0,5.05
3,3178,,,in_state,location,1.0,2.5,5.05
3,3178,,,located_in_city,location,0.75,3.0,5.05
3,3209,,,has_category,category,0.1875,2.0,6.175
3,3209,,,has_name,identity,0.0,0.5,6.175
3,3209,,,located_in_city,location,0.75,3.0,6.175
3,3209,,,has_coordinates,location,0.0,1.0,6.175
3,3209,,,has_postal_code,location,0.0,1.0,6.175
3,3209,,,status,identity,1.0,0.3,6.175
3,3209,,,has_attribute,attribute,0.375,1.0,6.175
3,3209,,,has_rating,quality,0.25,1.5,6.175
3,3209,,,in_state,location,1.0,2.5,6.175
3,3209,,,has_review_count,quality,0.0,0.8,6.175
3,3237,,,has_name,identity,0.0,0.5,6.35
3,3237,,,has_rating,quality,0.0,1.5,6.35
3,3237,,,in_state,location,1.0,2.5,6.35
3,3237,,,has_category,category,0.15,2.0,6.35
3,3237,,,has_review_count,quality,0.0,0.8,6.35
3,3237,,,located_in_city,location,0.75,3.0,6.35
3,3237,,,has_postal_code,location,0.75,1.0,6.35
3,3237,,,status,identity,1.0,0.3,6.35
3,3237,,,has_attribute,attribute,0.25,1.0,6.35
3,3237,,,has_coordinates,location,0.0,1.0,6.35
3,3484,,,status,identity,1.0,0.3,5.8
3,3484,,,located_in_city,location,0.75,3.0,5.8
3,3484,,,has_postal_code,location,0.75,1.0,5.8
3,3484,,,has_name,identity,0.0,0.5,5.8
3,3484,,,in_state,location,1.0,2.5,5.8
3,3484,,,has_coordinates,location,0.0,1.0,5.8
3,3484,,,has_category,category,0.0,2.0,5.8
3,3484,,,has_review_count,quality,0.0,0.8,5.8
3,3484,,,has_rating,quality,0.0,1.5,5.8
3,3732,,,has_attribute,attribute,0.25,1.0,0.925
3,3732,,,has_category,category,0.0,2.0,0.925
3,3732,,,located_in_city,location,0.0,3.0,0.925
3,3732,,,has_name,identity,0.0,0.5,0.925
3,3732,,,has_review_count,quality,0.0,0.8,0.925
3,3732,,,has_rating,quality,0.25,1.5,0.925
3,3732,,,status,identity,1.0,0.3,0.925
3,3732,,,has_coordinates,location,0.0,1.0,0.925
3,3732,,,in_state,location,0.0,2.5,0.925
3,3732,,,has_postal_code,location,0.0,1.0,0.925
3,3737,,,has_postal_code,location,0.0,1.0,5.05
3,3737,,,has_review_count,quality,0.0,0.8,5.05
3,3737,,,has_name,identity,0.0,0.5,5.05
3,3737,,,has_rating,quality,0.0,1.5,5.05
3,3737,,,has_category,category,0.0,2.0,5.05
3,3737,,,located_in_city,location,0.75,3.0,5.05
3,3737,,,has_coordinates,location,0.0,1.0,5.05
3,3737,,,status,identity,1.0,0.3,5.05
3,3737,,,in_state,location,1.0,2.5,5.05
3,393,,,has_attribute,attribute,0.125,1.0,3.061363636363636
3,393,,,has_rating,quality,0.0,1.5,3.061363636363636
3,393,,,status,identity,1.0,0.3,3.061363636363636
3,393,,,has_review_count,quality,0.0,0.8,3.061363636363636
3,393,,,has_category,category,0.06818181818181818,2.0,3.061363636363636
3,393,,,in_state,location,1.0,2.5,3.061363636363636
3,393,,,has_postal_code,location,0.0,1.0,3.061363636363636
3,393,,,has_coordinates,location,0.0,1.0,3.061363636363636
3,393,,,has_name,identity,0.0,0.5,3.061363636363636
3,393,,,located_in_city,location,0.0,3.0,3.061363636363636
3,4088,,,has_postal_code,location,0.0,1.0,1.6392857142857145
3,4088,,,has_category,category,0.35714285714285715,2.0,1.6392857142857145
3,4088,,,status,identity,1.0,0.3,1.6392857142857145
3,4088,,,has_name,identity,0.0,0.5,1.6392857142857145
3,4088,,,has_attribute,attribute,0.25,1.0,1.6392857142857145
3,4088,,,has_review_count,quality,0.0,0.8,1.6392857142857145
3,4088,,,has_coordinates,location,0.0,1.0,1.6392857142857145
3,4088,,,has_rating,quality,0.25,1.5,1.6392857142857145
3,4088,,,located_in_city,location,0.0,3.0,1.6392857142857145
3,4088,,,in_state,location,0.0,2.5,1.6392857142857145
3,4122,,,has_review_count,quality,0.0,0.8,1.5083333333333333
3,4122,,,has_attribute,attribute,0.3333333333333333,1.0,1.5083333333333333
3,4122,,,has_postal_code,location,0.0,1.0,1.5083333333333333
3,4122,,,located_in_city,location,0.0,3.0,1.5083333333333333
3,4122,,,has_name,identity,0.0,0.5,1.5083333333333333
3,4122,,,has_category,category,0.25,2.0,1.5083333333333333
3,4122,,,has_coordinates,location,0.0,1.0,1.5083333333333333
3,4122,,,has_rating,quality,0.25,1.5,1.5083333333333333
3,4122,,,in_state,location,0.0,2.5,1.5083333333333333
3,4122,,,status,identity,1.0,0.3,1.5083333333333333
3,4183,,,has_attribute,attribute,0.140625,1.0,0.7739583333333333
3,4183,,,has_name,identity,0.0,0.5,0.7739583333333333
3,4183,,,has_rating,quality,0.0,1.5,0.7739583333333333
3,4183,,,has_coordinates,location,0.0,1.0,0.7739583333333333
3,4183,,,status,identity,1.0,0.3,0.7739583333333333
3,4183,,,has_category,category,0.16666666666666666,2.0,0.7739583333333333
3,4183,,,in_state,location,0.0,2.5,0.7739583333333333
3,4183,,,located_in_city,location,0.0,3.0,0.7739583333333333
3,4183,,,has_postal_code,location,0.0,1.0,0.7739583333333333
3,4183,,,has_review_count,quality,0.0,0.8,0.7739583333333333
3,4359,,,has_category,category,0.1388888888888889,2.0,1.1194444444444445
3,4359,,,status,identity,1.0,0.3,1.1194444444444445
3,4359,,,has_rating,quality,0.25,1.5,1.1194444444444445
3,4359,,,has_coordinates,location,0.0,1.0,1.1194444444444445
3,4359,,,has_attribute,attribute,0.16666666666666666,1.0,1.1194444444444445
3,4359,,,has_postal_code,location,0.0,1.0,1.1194444444444445
3,4359,,,in_state,location,0.0,2.5,1.1194444444444445
3,4359,,,has_name,identity,0.0,0.5,1.1194444444444445
3,4359,,,located_in_city,location,0.0,3.0,1.1194444444444445
3,4359,,,has_review_count,quality,0.0,0.8,1.1194444444444445
3,4464,,,has_rating,quality,0.5,1.5,1.4458333333333333
3,4464,,,has_attribute,attribute,0.14583333333333334,1.0,1.4458333333333333
3,4464,,,has_category,category,0.125,2.0,1.4458333333333333
3,4464,,,has_review_count,quality,0.0,0.8,1.4458333333333333
3,4464,,,has_postal_code,location,0.0,1.0,1.4458333333333333
3,4464,,,has_name,identity,0.0,0.5,1.4458333333333333
3,4464,,,in_state,location,0.0,2.5,1.4458333333333333
3,4464,,,located_in_city,location,0.0,3.0,1.4458333333333333
3,4464,,,status,identity,1.0,0.3,1.4458333333333333
3,4464,,,has_coordinates,location,0.0,1.0,1.4458333333333333
3,45,,,status,identity,1.0,0.3,5.466666666666667
3,45,,,has_category,category,0.0,2.0,5.466666666666667
3,45,,,has_coordinates,location,0.0,1.0,5.466666666666667
3,45,,,has_attribute,attribute,0.4166666666666667,1.0,5.466666666666667
3,45,,,in_state,location,1.0,2.5,5.466666666666667
3,45,,,has_rating,quality,0.0,1.5,5.466666666666667
3,45,,,located_in_city,location,0.75,3.0,5.466666666666667
3,45,,,has_review_count,quality,0.0,0.8,5.466666666666667
